Date Code , Temp C , RH% , HP3478, HP3457, HP3456
42951.497160	 2.58630371093750E+0001	 4.52453613281250E+0001	+12.4312E+0	 1.00000382750000E+0001	+10.00001E+0
42951.497273	 2.58630371093750E+0001	 4.55444335937500E+0001	+12.4311E+0	 1.00000415499999E+0001	+10.00001E+0
42951.497368	 2.58529663085938E+0001	 4.56665039062500E+0001	+12.4308E+0	 1.00000433000001E+0001	+10.00001E+0
42951.497464	 2.58529663085938E+0001	 4.56665039062500E+0001	+12.4307E+0	 1.00000360000000E+0001	+10.00001E+0
42951.497555	 2.58831787109375E+0001	 4.56420898437500E+0001	+12.4307E+0	 1.00000504875000E+0001	+10.00002E+0
42951.497650	 2.59133911132813E+0001	 4.54467773437500E+0001	+12.4308E+0	 1.00000412999999E+0001	+10.00002E+0
42951.497742	 2.59234619140625E+0001	 4.54467773437500E+0001	+12.4309E+0	 1.00000370249999E+0001	+10.00001E+0
42951.497837	 2.59536743164063E+0001	 4.53430175781250E+0001	+12.4307E+0	 1.00000365000000E+0001	+10.00002E+0
42951.497928	 2.59637451171875E+0001	 4.55444335937500E+0001	+12.4304E+0	 1.00000404875000E+0001	+10.00002E+0
42951.498024	 2.59939575195313E+0001	 4.54467773437500E+0001	+12.4304E+0	 1.00000448000001E+0001	+10.00001E+0
42951.498119	 2.60342407226563E+0001	 4.53430175781250E+0001	+12.4303E+0	 1.00000315499999E+0001	+10.00001E+0
42951.498210	 2.60342407226563E+0001	 4.52453613281250E+0001	+12.4304E+0	 1.00000352499996E+0001	+10.00002E+0
42951.498306	 2.60644531250000E+0001	 4.50500488281250E+0001	+12.4302E+0	 1.00000365000000E+0001	+10.00002E+0
42951.498397	 2.61047363281250E+0001	 4.64172363281250E+0001	+12.8020E+0	 1.00000293937500E+0001	+10.00002E+0
42951.498492	 2.61047363281250E+0001	 4.63134765625000E+0001	+12.9825E+0	 1.00000403968750E+0001	+10.00001E+0
42951.498588	 2.61349487304688E+0001	 4.56237792968750E+0001	+12.9832E+0	 1.00000278999999E+0001	+10.00002E+0
42951.498679	 2.60845947265625E+0001	 4.53430175781250E+0001	+12.9832E+0	 1.00000437999999E+0001	+10.00001E+0
42951.498774	 2.60443115234375E+0001	 4.52453613281250E+0001	+12.9829E+0	 1.00000409875000E+0001	+10.00002E+0
42951.498866	 2.60342407226563E+0001	 4.52453613281250E+0001	+12.9829E+0	 1.00000443000001E+0001	+10.00002E+0
42951.498961	 2.60845947265625E+0001	 4.51477050781250E+0001	+12.9831E+0	 1.00000485875000E+0001	+10.00002E+0
42951.499056	 2.61148071289063E+0001	 4.50256347656250E+0001	+12.9830E+0	 1.00000384625000E+0001	+10.00002E+0
42951.499148	 2.61148071289063E+0001	 4.50256347656250E+0001	+12.9828E+0	 1.00000372749999E+0001	+10.00002E+0
42951.499243	 2.61349487304688E+0001	 4.49279785156250E+0001	+12.9827E+0	 1.00000391500000E+0001	+10.00002E+0
42951.499334	 2.61550903320313E+0001	 4.49279785156250E+0001	+12.9831E+0	 1.00000443000001E+0001	+10.00002E+0
42951.499430	 2.61550903320313E+0001	 4.49279785156250E+0001	+12.9831E+0	 1.00000375250001E+0001	+10.00002E+0
42951.499525	 2.61450195312500E+0001	 4.49279785156250E+0001	+12.9831E+0	 1.00000545500001E+0001	+10.00002E+0
42951.499616	 2.61450195312500E+0001	 4.50256347656250E+0001	+12.9829E+0	 1.00000405812500E+0001	+10.00002E+0
42951.499712	 2.61047363281250E+0001	 4.51232910156250E+0001	+12.9831E+0	 1.00000497000000E+0001	+10.00002E+0
42951.499803	 2.60745239257813E+0001	 4.51477050781250E+0001	+13.6308E+0	 1.00000437999999E+0001	+10.00002E+0
42951.499898	 2.60644531250000E+0001	 4.51477050781250E+0001	+14.0365E+0	 1.00000417500000E+0001	+10.00002E+0
42951.499994	 2.60845947265625E+0001	 4.51477050781250E+0001	+14.0361E+0	 1.00000410500000E+0001	+10.00003E+0
42951.500085	 2.61148071289063E+0001	 4.51232910156250E+0001	+14.0357E+0	 1.00000520000000E+0001	+10.00003E+0
42951.500180	 2.61450195312500E+0001	 4.49279785156250E+0001	+14.0351E+0	 1.00000584000000E+0001	+10.00003E+0
42951.500272	 2.61550903320313E+0001	 4.47265625000000E+0001	+14.0351E+0	 1.00000471499999E+0001	+10.00003E+0
42951.500367	 2.61853027343750E+0001	 4.47265625000000E+0001	+14.0351E+0	 1.00000655000000E+0001	+10.00003E+0
42951.500462	 2.61853027343750E+0001	 4.48303222656250E+0001	+14.0350E+0	 1.00000521250000E+0001	+10.00003E+0
42951.500554	 2.61853027343750E+0001	 4.48303222656250E+0001	+14.0350E+0	 1.00000640499997E+0001	+10.00002E+0
42951.500649	 2.61550903320313E+0001	 4.50256347656250E+0001	+14.0350E+0	 1.00000487750000E+0001	+10.00003E+0
42951.500740	 2.61349487304688E+0001	 4.50256347656250E+0001	+14.0346E+0	 1.00000482750000E+0001	+10.00003E+0
42951.500836	 2.61148071289063E+0001	 4.50256347656250E+0001	+14.0345E+0	 1.00000633000001E+0001	+10.00003E+0
42951.500931	 2.61047363281250E+0001	 4.51232910156250E+0001	+14.0345E+0	 1.00000508000000E+0001	+10.00003E+0
42951.501022	 2.61450195312500E+0001	 4.50256347656250E+0001	+14.0342E+0	 1.00000572749999E+0001	+10.00003E+0
42951.501118	 2.61450195312500E+0001	 4.50256347656250E+0001	+14.0341E+0	 1.00000474000001E+0001	+10.00003E+0
