Date Code , Temp C , RH% , HP3478, HP3457, HP3456
42948.704491	 3.28320312500000E+0001	 2.47619628906250E+0001	+20.1248E+0	 1.00000537999999E+0001	+10.00000E+0
42948.704597	 3.28823852539063E+0001	 2.32971191406250E+0001	+20.1249E+0	 1.00000425000000E+0001	+09.99999E+0
42948.704692	 3.38693237304688E+0001	 2.34436035156250E+0001	+20.1251E+0	 1.00000535499999E+0001	+09.99999E+0
42948.704784	 3.41915893554688E+0001	 2.29370117187500E+0001	+20.1250E+0	 1.00000408000000E+0001	+09.99999E+0
42948.704879	 3.45339965820313E+0001	 2.33154296875000E+0001	+20.1252E+0	 1.00000360000000E+0001	+09.99999E+0
42948.704974	 3.47052001953125E+0001	 2.24243164062500E+0001	+20.1253E+0	 1.00000425000000E+0001	+10.00000E+0
42948.705066	 3.50778198242188E+0001	 2.21191406250000E+0001	+20.1251E+0	 1.00000425000000E+0001	+10.00000E+0
42948.705161	 3.53094482421875E+0001	 2.06481933593750E+0001	+20.1253E+0	 1.00000376500001E+0001	+10.00000E+0
42948.705253	 3.57424926757813E+0001	 1.99462890625000E+0001	+20.1252E+0	 1.00000465000000E+0001	+10.00000E+0
42948.705348	 3.61251831054688E+0001	 1.99401855468750E+0001	+20.1248E+0	 1.00000462499998E+0001	+10.00000E+0
42948.705443	 3.64071655273438E+0001	 1.98303222656250E+0001	+20.1251E+0	 1.00000443000001E+0001	+10.00000E+0
42948.705535	 3.66186523437500E+0001	 1.92382812500000E+0001	+20.1251E+0	 1.00000386500000E+0001	+10.00000E+0
42948.705630	 3.69409179687500E+0001	 1.93176269531250E+0001	+20.1251E+0	 1.00000478999999E+0001	+09.99999E+0
42948.705721	 3.71624755859375E+0001	 1.96105957031250E+0001	+20.1249E+0	 1.00000385875000E+0001	+09.99999E+0
42948.705817	 3.72329711914063E+0001	 1.98913574218750E+0001	+20.1251E+0	 1.00000384000000E+0001	+10.00000E+0
42948.705908	 3.72631835937500E+0001	 1.99890136718750E+0001	+20.1251E+0	 1.00000414875000E+0001	+10.00000E+0
42948.706003	 3.72833251953125E+0001	 1.90185546875000E+0001	+20.1252E+0	 1.00000378999999E+0001	+10.00000E+0
42948.706099	 3.75350952148438E+0001	 1.90063476562500E+0001	+20.1252E+0	 1.00000462499998E+0001	+10.00000E+0
42948.706190	 3.76358032226563E+0001	 1.84265136718750E+0001	+20.1250E+0	 1.00000389625000E+0001	+10.00000E+0
42948.706285	 3.78271484375000E+0001	 1.84143066406250E+0001	+20.1248E+0	 1.00000417500000E+0001	+09.99999E+0
42948.706377	 3.80084228515625E+0001	 1.85058593750000E+0001	+20.1250E+0	 1.00000420000000E+0001	+09.99999E+0
42948.706472	 3.80386352539063E+0001	 1.89880371093750E+0001	+20.1249E+0	 1.00000352499996E+0001	+10.00000E+0
42948.706568	 3.80084228515625E+0001	 1.90856933593750E+0001	+20.1250E+0	 1.00000445500001E+0001	+10.00000E+0
42948.706659	 3.79479980468750E+0001	 1.87072753906250E+0001	+20.1250E+0	 1.00000289000001E+0001	+10.00000E+0
42948.706754	 3.79983520507813E+0001	 1.86035156250000E+0001	+20.1249E+0	 1.00000295812500E+0001	+09.99999E+0
42948.706846	 3.80386352539063E+0001	 1.81152343750000E+0001	+20.1252E+0	 1.00000393937500E+0001	+09.99999E+0
42948.706941	 3.81292724609375E+0001	 1.87927246093750E+0001	+20.1252E+0	 1.00000378999999E+0001	+09.99999E+0
42948.707037	 3.80889892578125E+0001	 1.80175781250000E+0001	+20.1252E+0	 1.00000416250000E+0001	+10.00000E+0
42948.707128	 3.82501220703125E+0001	 1.83959960937500E+0001	+20.1251E+0	 1.00000369000001E+0001	+09.99999E+0
42948.707223	 3.81393432617188E+0001	 1.87927246093750E+0001	+20.1251E+0	 1.00000420000000E+0001	+09.99999E+0
42948.707315	 3.80990600585938E+0001	 1.87927246093750E+0001	+20.1250E+0	 1.00000413625000E+0001	+10.00000E+0
42948.707410	 3.80889892578125E+0001	 1.76330566406250E+0001	+20.1250E+0	 1.00000445500001E+0001	+09.99999E+0
42948.707502	 3.83810424804688E+0001	 1.74316406250000E+0001	+20.1250E+0	 1.00000443000001E+0001	+09.99999E+0
42948.707597	 3.85623168945313E+0001	 1.79992675781250E+0001	+20.1250E+0	 1.00000384000000E+0001	+09.99999E+0
42948.707692	 3.86227416992188E+0001	 1.75170898437500E+0001	+20.1249E+0	 1.00000423750002E+0001	+09.99999E+0
42948.707784	 3.87637329101563E+0001	 1.84753417968750E+0001	+20.1248E+0	 1.00000262499998E+0001	+09.99999E+0
42948.707879	 3.86831665039063E+0001	 1.84875488281250E+0001	+20.1250E+0	 1.00000374000001E+0001	+09.99999E+0
42948.707971	 3.86328125000000E+0001	 1.83898925781250E+0001	+20.1250E+0	 1.00000362499998E+0001	+09.99999E+0
42948.708066	 3.86630249023438E+0001	 1.84875488281250E+0001	+20.1253E+0	 1.00000427500000E+0001	+09.99999E+0
42948.708158	 3.85824584960938E+0001	 1.86767578125000E+0001	+20.1253E+0	 1.00000425000000E+0001	+09.99999E+0
42948.708253	 3.85623168945313E+0001	 1.78100585937500E+0001	+20.1253E+0	 1.00000437999999E+0001	+09.99999E+0
42948.708348	 3.87335205078125E+0001	 1.84753417968750E+0001	+20.1251E+0	 1.00000326250000E+0001	+09.99999E+0
42948.708440	 3.87234497070313E+0001	 1.85729980468750E+0001	+20.1251E+0	 1.00000337999999E+0001	+09.99999E+0
